date,version,count
2026-07-02,TB,0
2026-07-02,VFL,0
2026-07-03,ACF,0
2026-07-03,ALM1911,0
2026-07-03,ARA,0
2026-07-03,ARC,0
2026-07-03,AS21,0
2026-07-03,BLIVRE,0
2026-07-03,JFAA,0
2026-07-03,KJA,0
2026-07-03,KJF,0
2026-07-03,MENS,0
2026-07-03,NAA,0
2026-07-03,NBV,0
2026-07-03,NTLH,0
2026-07-03,NVI,0
2026-07-03,NVT,0
2026-07-03,OL,0
2026-07-03,TB,0
2026-07-03,VFL,0
2026-07-04,ACF,0
2026-07-04,ALM1911,0
2026-07-04,ARA,0
2026-07-04,ARC,0
2026-07-04,AS21,0
2026-07-04,BLIVRE,0
2026-07-04,JFAA,0
2026-07-04,KJA,0
2026-07-04,KJF,0
2026-07-04,MENS,0
2026-07-04,NAA,0
2026-07-04,NBV,0
2026-07-04,NTLH,0
2026-07-04,NVI,0
2026-07-04,NVT,0
2026-07-04,OL,0
2026-07-04,TB,0
2026-07-04,VFL,0
2026-07-05,ACF,0
2026-07-05,ALM1911,0
2026-07-05,ARA,0
2026-07-05,ARC,0
2026-07-05,AS21,0
2026-07-05,BLIVRE,0
2026-07-05,JFAA,0
2026-07-05,KJA,0
2026-07-05,KJF,0
2026-07-05,MENS,0
2026-07-05,NAA,0
2026-07-05,NBV,0
2026-07-05,NTLH,0
2026-07-05,NVI,0
2026-07-05,NVT,0
2026-07-05,OL,0
2026-07-05,TB,0
2026-07-05,VFL,0
2026-07-06,ACF,0
2026-07-06,ALM1911,0
2026-07-06,ARA,0
2026-07-06,ARC,0
2026-07-06,AS21,0
2026-07-06,BLIVRE,0
2026-07-06,JFAA,0
2026-07-06,KJA,0
2026-07-06,KJF,0
2026-07-06,MENS,0
2026-07-06,NAA,0
2026-07-06,NBV,0
2026-07-06,NTLH,0
2026-07-06,NVI,0
2026-07-06,NVT,0
2026-07-06,OL,0
2026-07-06,TB,0
2026-07-06,VFL,0
2026-07-07,ACF,0
2026-07-07,ALM1911,0
2026-07-07,ARA,0
2026-07-07,ARC,0
2026-07-07,AS21,0
